cp_ville,Région,Département,Gazole,SP98,SP95,E85,E10,GPLc,Latitude,Longitude,Nombre de stations
01000 Bourg-en-Bresse,Auvergne-Rhône-Alpes,Ain,1.8407142857142857,1.8506666666666665,1.8288,0.993,1.7733999999999999,,46.20379722857143,5.2366706857142855,7
01000 Saint-Denis-lès-Bourg,Auvergne-Rhône-Alpes,Ain,1.8925,1.9220000000000002,1.822,1.0,1.8455,,46.201,5.199,2
01090 Montceaux,Auvergne-Rhône-Alpes,Ain,1.878,1.893,,,1.795,,46.096,4.775,1
01100 Arbent,Auvergne-Rhône-Alpes,Ain,1.8330000000000002,1.92,1.8415,,1.776,0.969,46.27802,5.66141,2
01100 Oyonnax,Auvergne-Rhône-Alpes,Ain,1.87375,1.9166666666666667,1.85,0.9983333333333334,1.814,0.964,46.25725,5.647,4
01110 Plateau d'Hauteville,Auvergne-Rhône-Alpes,Ain,1.844,1.879,,,1.809,,45.978,5.599,1
01120 Dagneux,Auvergne-Rhône-Alpes,Ain,2.0135,2.0745,,1.239,2.0145,,45.846000000000004,5.072,2
01120 La Boisse,Auvergne-Rhône-Alpes,Ain,1.877,1.957,,,1.847,,45.846,5.041,1
01120 Montluel,Auvergne-Rhône-Alpes,Ain,1.799,1.8315000000000001,,0.999,1.759,,45.85,5.0535,2
01130 Le Poizat-Lalleyriat,Auvergne-Rhône-Alpes,Ain,1.87,1.95,1.93,,,,46.167,5.691,1
01130 Nantua,Auvergne-Rhône-Alpes,Ain,1.837,1.899,,,1.817,,46.158,5.604,1
01140 Saint-Didier-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,1.799,,,0.999,1.759,,46.18,4.817,1
01150 Lagnieu,Auvergne-Rhône-Alpes,Ain,1.837,1.879,1.809,,1.804,,45.902,5.346,1
01150 Saint-Vulbas,Auvergne-Rhône-Alpes,Ain,1.927,1.99,,1.099,1.887,,45.839,5.278,1
01160 Neuville-sur-Ain,Auvergne-Rhône-Alpes,Ain,1.785,1.824,,0.998,1.755,,46.074,5.376,1
01160 Pont-d'Ain,Auvergne-Rhône-Alpes,Ain,1.8415,1.9015,1.85,,1.8175,,46.0467801828,5.3398644035850005,2
01170 Gex,Auvergne-Rhône-Alpes,Ain,1.8623333333333332,1.891333333333333,1.862,0.998,1.827,,46.33159,6.0621133333333335,3
01170 Ségny,Auvergne-Rhône-Alpes,Ain,1.832,1.847,1.831,0.993,1.792,,46.293,6.079,1
01190 Saint-Bénigne,Auvergne-Rhône-Alpes,Ain,1.869,1.909,1.879,,,,46.442,4.97,1
01200 Valserhône,Auvergne-Rhône-Alpes,Ain,1.869,1.901,1.849,,1.839,,46.115,5.817500000000001,2
01210 Ferney-Voltaire,Auvergne-Rhône-Alpes,Ain,1.821,1.895,1.825,0.952,1.749,,46.248515,6.106585,2
01220 Divonne-les-Bains,Auvergne-Rhône-Alpes,Ain,1.885,1.915,1.879,,,,46.343,6.141,1
01230 Saint-Rambert-en-Bugey,Auvergne-Rhône-Alpes,Ain,1.92,1.95,1.88,,,,45.942,5.432,1
01230 Torcieu,Auvergne-Rhône-Alpes,Ain,1.94,,1.95,,,,45.921,5.394,1
01250 Ceyzériat,Auvergne-Rhône-Alpes,Ain,1.823,1.841,,0.998,1.769,,46.179720878139,5.3249462851004,1
01250 Jasseron,Auvergne-Rhône-Alpes,Ain,2.072,2.097,,1.229,2.037,1.099,46.2042464125695,5.2952874210046,2
01250 Tossiat,Auvergne-Rhône-Alpes,Ain,1.929,1.919,1.889,,,,46.13408,5.2888,1
01270 Coligny,Auvergne-Rhône-Alpes,Ain,1.979,1.99,,,,,46.382,5.345,1
01290 Laiz,Auvergne-Rhône-Alpes,Ain,1.87,1.89,,1.02,1.79,,46.255,4.89,1
01300 Belley,Auvergne-Rhône-Alpes,Ain,1.8820000000000001,1.915,1.88,,,,45.757859999999994,5.684670000000001,2
01300 Chazey-Bons,Auvergne-Rhône-Alpes,Ain,1.845,1.874,,,1.786,,45.778,5.689,1
01310 Confrançon,Auvergne-Rhône-Alpes,Ain,1.909,1.939,1.839,,,,46.256,5.057,1
01310 Polliat,Auvergne-Rhône-Alpes,Ain,1.947,1.99,,,1.887,,46.2508258935,5.11211332738,1
01320 Chalamont,Auvergne-Rhône-Alpes,Ain,1.9195,1.859,1.99,,1.799,,45.9945,5.173,2
01330 Ambérieux-en-Dombes,Auvergne-Rhône-Alpes,Ain,1.937,1.99,,,1.887,,45.999,4.899,1
01330 Villars-les-Dombes,Auvergne-Rhône-Alpes,Ain,1.849,1.859,1.829,,1.799,,46.007,5.035,1
01340 Attignat,Auvergne-Rhône-Alpes,Ain,1.992,1.993,1.961,1.119,,,46.279,5.165,1
01340 Jayat,Auvergne-Rhône-Alpes,Ain,1.78,1.823,1.784,0.998,1.747,,46.346,5.126,1
01340 Malafretaz,Auvergne-Rhône-Alpes,Ain,1.947,1.99,,,1.887,,46.323,5.137,1
01340 Montrevel-en-Bresse,Auvergne-Rhône-Alpes,Ain,1.821,,1.813,,1.784,,46.334726399999994,5.1260021,1
01350 Culoz,Auvergne-Rhône-Alpes,Ain,1.8895,1.897,1.869,,1.787,,45.847811740859,5.7784899824634,2
01360 Balan,Auvergne-Rhône-Alpes,Ain,1.99,1.99,1.99,,,,45.84889,5.11958,1
01360 Loyettes,Auvergne-Rhône-Alpes,Ain,1.929,,1.949,,,,45.779,5.213,1
01370 Saint-Étienne-du-Bois,Auvergne-Rhône-Alpes,Ain,1.799,1.839,,,1.759,,46.27,5.293,1
01380 Bâgé-Dommartin,Auvergne-Rhône-Alpes,Ain,1.819,,1.819,,1.779,,46.313,4.942,1
01390 Mionnay,Auvergne-Rhône-Alpes,Ain,2.089,2.168,,,2.048,,45.8872529900255,4.8938108939491,2
01390 Saint-André-de-Corcy,Auvergne-Rhône-Alpes,Ain,1.8816666666666666,1.936,1.859,0.999,1.8505,,45.929,4.968000000000001,3
01400 Châtillon-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,1.8303333333333331,1.851,1.8119999999999998,0.998,1.763,,46.117499979849995,4.9549981874075,4
01430 Ceignes,Auvergne-Rhône-Alpes,Ain,2.0395,2.0795,,1.239,2.0295,1.0765,46.120897812470005,5.495333139764551,2
01430 Maillat,Auvergne-Rhône-Alpes,Ain,1.973,,1.949,,1.918,,46.128,5.54,1
01440 Viriat,Auvergne-Rhône-Alpes,Ain,1.9293333333333333,1.9545,1.925,,1.887,,46.23033333333333,5.234666666666667,3
01460 Montréal-la-Cluse,Auvergne-Rhône-Alpes,Ain,1.849,1.869,1.839,,,,46.17225,5.57729,1
01460 Nurieux-Volognat,Auvergne-Rhône-Alpes,Ain,1.975,,1.936,,,,46.187,5.526,1
01460 Port,Auvergne-Rhône-Alpes,Ain,1.859,1.889,,0.999,1.819,,46.166,5.571,1
01470 Briord,Auvergne-Rhône-Alpes,Ain,1.819,1.869,,,1.789,,45.78776,5.45414,1
01470 Montagnieu,Auvergne-Rhône-Alpes,Ain,,,,,,,45.7951,5.46083,1
01480 Jassans-Riottier,Auvergne-Rhône-Alpes,Ain,1.863,1.868,1.855,,,,45.98403,4.75694,1
01480 Messimy-sur-Saône,Auvergne-Rhône-Alpes,Ain,1.967,1.99,,,1.899,,46.049817093241,4.765510617678601,1
01500 Ambérieu-en-Bugey,Auvergne-Rhône-Alpes,Ain,1.91175,1.958,2.019,0.999,1.8155000000000001,1.047,45.9578599385635,5.35173019641785,4
01500 Château-Gaillard,Auvergne-Rhône-Alpes,Ain,1.944,,1.9340000000000002,,,,45.97596,5.309125,2
01510 Artemare,Auvergne-Rhône-Alpes,Ain,1.879,1.889,1.859,,,,45.873,5.698,1
01540 Vonnas,Auvergne-Rhône-Alpes,Ain,1.7934999999999999,1.855,1.769,,1.7635,,46.2055,4.9945,2
01560 Saint-Trivier-de-Courtes,Auvergne-Rhône-Alpes,Ain,1.782,1.809,1.785,,,,46.459,5.075,1
01570 Feillens,Auvergne-Rhône-Alpes,Ain,1.819,1.871,,0.998,1.776,,46.329,4.885,1
01590 Dortan,Auvergne-Rhône-Alpes,Ain,1.97,1.95,1.94,,,,46.322,5.656,1
01590 Lavancia-Epercy,Bourgogne-Franche-Comté,Jura,1.859,,,0.998,1.819,,46.325,5.672,1
01600 Massieux,Auvergne-Rhône-Alpes,Ain,1.872,1.901,,,1.806,,45.904,4.82,1
01600 Trévoux,Auvergne-Rhône-Alpes,Ain,1.834,1.85,1.828,,,,45.934724745,4.79062770497,1
01630 Péron,Auvergne-Rhône-Alpes,Ain,1.809,1.845,,0.999,1.775,,46.183,5.929,1
01630 Saint-Genis-Pouilly,Auvergne-Rhône-Alpes,Ain,1.8744999999999998,1.845,,0.999,1.8275,,46.252629999999996,6.02725,2
01640 Saint-Jean-le-Vieux,Auvergne-Rhône-Alpes,Ain,,,,,,,46.03487603046899,5.3894526948339,1
01700 Beynost,Auvergne-Rhône-Alpes,Ain,1.762,1.828,1.778,0.946,1.736,,45.826,4.999,1
01700 Miribel,Auvergne-Rhône-Alpes,Ain,1.829,1.899,,,1.819,,45.849500000000006,4.942,2
01710 Thoiry,Auvergne-Rhône-Alpes,Ain,1.87,1.89,,,1.82,,46.227,5.993,1
01750 Replonges,Auvergne-Rhône-Alpes,Ain,1.827,,1.845,,1.775,,46.299,4.881,1
01800 Meximieux,Auvergne-Rhône-Alpes,Ain,1.8650000000000002,1.8845,,0.999,1.799,,45.9063116041865,5.1903572443838,2
01800 Saint-Maurice-de-Gourdans,Auvergne-Rhône-Alpes,Ain,1.99,,1.99,,,,45.821,5.2,1
01960 Péronnas,Auvergne-Rhône-Alpes,Ain,1.8639999999999999,1.919,1.819,0.989,1.869,0.999,46.1865,5.2125,2
01960 Servas,Auvergne-Rhône-Alpes,Ain,1.829,1.869,,0.998,1.789,,46.128,5.163,1
02000 Chambry,Hauts-de-France,Aisne,1.785,1.809,,0.951,1.764,0.995,49.587,3.649,1
02000 Laon,Hauts-de-France,Aisne,1.869142857142857,1.9231666666666667,1.888,1.021,1.8478,,49.56775086731357,3.633734739515043,7
02100 Fayet,Hauts-de-France,Aisne,1.851,1.903,,0.948,1.825,0.956,49.858,3.253,1
02100 Harly,Hauts-de-France,Aisne,1.803,1.869,,0.957,1.788,0.956,49.84272807,3.32345007,1
02100 Neuville-Saint-Amand,Hauts-de-France,Aisne,1.803,1.869,,0.957,1.788,,49.824379060000005,3.3107543699999997,1
02100 Saint-Quentin,Hauts-de-France,Aisne,1.8575,1.9204,1.859,1.0583333333333333,1.8565999999999998,0.976,49.845939250324996,3.2871049632725,8
02110 Bohain-en-Vermandois,Hauts-de-France,Aisne,1.86,1.91,,0.998,1.845,,49.9819591,3.4521857999999996,2
02120 Guise,Hauts-de-France,Aisne,1.8916666666666666,1.9466666666666665,1.878,1.169,1.875,0.999,49.90055,3.631133333333333,3
02130 Fère-en-Tardenois,Hauts-de-France,Aisne,1.874,1.999,1.909,0.989,,,49.198499999999996,3.5125,2
02130 Étrépilly,Hauts-de-France,Aisne,2.059,2.149,,,2.049,1.083,49.07771,3.37046,2
02140 Fontaine-lès-Vervins,Hauts-de-France,Aisne,1.93,,,,1.928,,49.843,3.905,1
02140 Vervins,Hauts-de-France,Aisne,1.9394999999999998,1.8965,1.887,0.998,1.851,,49.837063894078,3.9132089720010503,2
02170 Le Nouvion-en-Thiérache,Hauts-de-France,Aisne,1.909,1.939,1.919,,,,50.013,3.781,1
02190 Villeneuve-sur-Aisne,Hauts-de-France,Aisne,1.9423333333333332,1.9956666666666667,1.899,1.329,1.944,1.083,49.442946915074664,3.940344543926533,3
02200 Soissons,Hauts-de-France,Aisne,1.8707142857142858,1.9424285714285714,1.896,0.9949999999999999,1.8653333333333333,1.004,49.37538142857142,3.322567142857143,7
02200 Vauxbuin,Hauts-de-France,Aisne,1.887,1.973,,,1.893,,49.364,3.304,1
02200 Venizel,Hauts-de-France,Aisne,1.88,1.909,1.889,,,,49.36299,3.40346,1
02220 Braine,Hauts-de-France,Aisne,1.879,1.969,,1.049,1.879,,49.341,3.529,1
02230 Fresnoy-le-Grand,Hauts-de-France,Aisne,1.85,1.895,1.88,,,,49.957514,3.4304281,1
02240 Ribemont,Hauts-de-France,Aisne,1.819,,,0.998,1.789,,49.80095,3.46696,1
02250 Marle,Hauts-de-France,Aisne,1.9215,1.99,1.939,1.069,1.925,,49.74642,3.772685,2
02260 La Capelle,Hauts-de-France,Aisne,1.899,1.929,1.899,,,,49.973,3.918,1
02270 Crécy-sur-Serre,Hauts-de-France,Aisne,1.979,1.999,,1.069,1.969,,49.689,3.622,1
02290 Ressons-le-Long,Hauts-de-France,Aisne,1.844,1.91,,0.998,1.827,,49.396807142795,3.1156294899994,1
02300 Autreville,Hauts-de-France,Aisne,1.859,1.924,1.9,,,,49.591,3.234,1
02300 Blérancourt,Hauts-de-France,Aisne,1.892,1.958,1.932,,1.989,,49.5197529,3.1492908,1
02300 Chauny,Hauts-de-France,Aisne,1.859,1.899,,0.999,1.829,,49.62645,3.21575,1
02300 Viry-Noureuil,Hauts-de-France,Aisne,1.859,1.889,,,1.819,0.959,49.64287,3.2595,1
02310 Charly-sur-Marne,Hauts-de-France,Aisne,1.794,1.866,1.829,0.966,,,48.97646,3.28015,1
02320 Anizy-le-Grand,Hauts-de-France,Aisne,1.849,1.885,1.855,,1.815,,49.506,3.44,1
02340 Dizy-le-Gros,Hauts-de-France,Aisne,1.889,,,,1.919,,49.63,4.025,1
02340 Lislet,Hauts-de-France,Aisne,1.849,1.849,1.859,,,,49.689,4.022,1
02360 Rozoy-sur-Serre,Hauts-de-France,Aisne,1.849,1.889,,0.998,1.819,,49.704,4.112,1
02370 Vailly-sur-Aisne,Hauts-de-France,Aisne,1.869,1.919,1.899,,,,49.405636006255996,3.5149754981475,1
02380 Crécy-au-Mont,Hauts-de-France,Aisne,1.835,1.913,,0.994,1.832,,49.489,3.336,1
02390 Origny-Sainte-Benoite,Hauts-de-France,Aisne,1.959,1.969,1.929,,,,49.83722,3.49412,1
02400 Château-Thierry,Hauts-de-France,Aisne,1.8585,1.959666666666667,1.8599999999999999,0.949,1.86225,,49.04387395949925,3.392836525713775,4
02420 Bellicourt,Hauts-de-France,Aisne,1.99,,1.99,,,,49.96029,3.2316,1
02430 Gauchy,Hauts-de-France,Aisne,1.824,1.855,,0.998,1.791,0.974,49.82606,3.2792,1
02450 La Neuville-lès-Dorengt,Hauts-de-France,Aisne,1.863,1.916,1.895,,,,49.9772968,3.6768151000000002,1
02460 La Ferté-Milon,Hauts-de-France,Aisne,1.889,1.989,1.949,1.099,,,49.185303407714,3.1230893867999496,2
02470 Neuilly-Saint-Front,Hauts-de-France,Aisne,1.784,1.809,,,1.764,,49.169,3.257,1
02480 Jussy,Hauts-de-France,Aisne,1.913,1.957,,1.069,1.901,,49.73353618049801,3.2450595752320996,1
02500 Hirson,Hauts-de-France,Aisne,1.828,1.8763333333333332,,,1.8099999999999998,0.959,49.916058060614,4.083693475099399,3
02580 Étréaupont,Hauts-de-France,Aisne,1.929,,,,1.899,,49.9035443,3.9139988,1
02600 Villers-Cotterêts,Hauts-de-France,Aisne,1.9045,2.017333333333333,1.9165,1.13,1.849,,49.250737022420005,3.07941965762666,5
02620 Buironfosse,Hauts-de-France,Aisne,1.929,,,,1.899,,49.960603600000006,3.8238007,1
02690 Essigny-le-Grand,Hauts-de-France,Aisne,1.989,1.99,,1.249,1.959,1.054,49.77752,3.27799,1
02700 Condren,Hauts-de-France,Aisne,1.958,1.99,,,1.925,,49.65,3.28,1
02800 Beautor,Hauts-de-France,Aisne,1.831,1.834,,0.953,1.786,,49.66,3.346,1
02800 La Fère,Hauts-de-France,Aisne,1.899,1.969,1.949,,,,49.66023,3.37185,1
02820 Saint-Erme-Outre-et-Ramecourt,Hauts-de-France,Aisne,1.829,1.867,,0.999,1.799,,49.531,3.856,1
02860 Bruyères-et-Montbérault,Hauts-de-France,Aisne,1.942,1.99,,,1.93,,49.532,3.653,1
02870 Crépy,Hauts-de-France,Aisne,1.889,,,,1.899,,49.609284191712995,3.5052696871806,1
02880 Crouy,Hauts-de-France,Aisne,,,,,,,49.39825,3.35632,1
03000 Avermes,Auvergne-Rhône-Alpes,Allier,1.8283333333333331,1.9245,1.809,0.989,1.8439999999999999,1.049,46.59357233137134,3.3138569048047,3
03000 Moulins,Auvergne-Rhône-Alpes,Allier,1.849,1.873,1.849,0.999,1.8005,,46.5515,3.332,2
03100 Montluçon,Auvergne-Rhône-Alpes,Allier,1.8594285714285714,1.907142857142857,1.8445,0.996,1.8643999999999998,,46.337874594247005,2.5934346198211284,7
03110 Broût-Vernet,Auvergne-Rhône-Alpes,Allier,1.937,1.98,,,1.928,,46.192,3.265,1
03110 Charmeil,Auvergne-Rhône-Alpes,Allier,1.937,,,,1.919,,46.155,3.394,1
03120 Lapalisse,Auvergne-Rhône-Alpes,Allier,1.8656,1.9092500000000001,1.8900000000000001,1.0485,1.811,,46.2493138879306,3.6242804546044,5
03130 Le Donjon,Auvergne-Rhône-Alpes,Allier,1.99,1.98,1.96,,,,46.34868,3.79313,1
03150 Varennes-sur-Allier,Auvergne-Rhône-Alpes,Allier,1.915,2.00175,1.9975,,1.874,,46.321,3.394,4
03160 Bourbon-l'Archambault,Auvergne-Rhône-Alpes,Allier,1.915,1.985,1.891,,,,46.58333,3.06336,1
03170 Doyet,Auvergne-Rhône-Alpes,Allier,2.039,2.119,,,2.019,1.083,46.345505,2.79859,2
03190 Vallon-en-Sully,Auvergne-Rhône-Alpes,Allier,1.889,1.939,1.889,,,,46.531,2.622,1
03200 Vichy,Auvergne-Rhône-Alpes,Allier,1.9143333333333334,1.9596666666666664,,,1.8856666666666666,0.969,46.130046666666665,3.4288966666666667,3
03210 Souvigny,Auvergne-Rhône-Alpes,Allier,1.901,,1.906,,1.861,,46.536,3.203,1
03240 Deux-Chaises,Auvergne-Rhône-Alpes,Allier,1.937,1.99,,,1.919,,46.38,3.04,1
03250 Le Mayet-de-Montagne,Auvergne-Rhône-Alpes,Allier,1.776,1.814,,,1.738,,46.06849,3.66341,1
03260 Saint-Germain-des-Fossés,Auvergne-Rhône-Alpes,Allier,1.829,,,0.998,1.799,,46.205,3.432,1
03270 Saint-Yorre,Auvergne-Rhône-Alpes,Allier,1.889,1.929,1.889,,,,46.0545608,3.4701495400000004,1
03290 Dompierre-sur-Besbre,Auvergne-Rhône-Alpes,Allier,1.9176666666666666,1.953,1.9100000000000001,,,,46.523,3.6803333333333335,3
03300 Cusset,Auvergne-Rhône-Alpes,Allier,1.8860000000000001,1.9503333333333333,1.8744999999999998,0.994,1.919,,46.13614548333334,3.45088925,3
03310 Néris-les-Bains,Auvergne-Rhône-Alpes,Allier,1.895,1.919,1.891,,1.963,,46.283,2.669,1
03320 Lurcy-Lévis,Auvergne-Rhône-Alpes,Allier,1.949,1.999,1.979,,,,46.731,2.938,1
03350 Cérilly,Auvergne-Rhône-Alpes,Allier,1.919,,1.889,,,,46.61658854,2.82206505,1
03360 Ainay-le-Château,Auvergne-Rhône-Alpes,Allier,1.854,,1.878,,1.84,,46.705,2.695,1
03380 Domérat,Auvergne-Rhône-Alpes,Allier,1.947,1.99,,,1.919,,46.406002810000004,2.52902817,1
03380 Huriel,Auvergne-Rhône-Alpes,Allier,1.899,1.919,1.869,,,,46.372,2.471,1
03390 Montmarault,Auvergne-Rhône-Alpes,Allier,1.8940000000000001,1.959,1.869,1.259,1.921,,46.3225,2.9625,2
03400 Moulins,Auvergne-Rhône-Alpes,Allier,1.907,1.99,,0.994,1.919,0.986,46.558,3.335,1
03400 Toulon-sur-Allier,Auvergne-Rhône-Alpes,Allier,2.0445,2.079,,1.097,1.943,,46.5016935,3.361861,2
03400 Yzeure,Auvergne-Rhône-Alpes,Allier,1.904,1.974,1.919,,,,46.56484695,3.35485610742305,2
03410 Domérat,Auvergne-Rhône-Alpes,Allier,1.861,1.9253333333333333,1.8725,,1.8579999999999999,0.959,46.35567,2.55442,3
03410 Prémilhat,Auvergne-Rhône-Alpes,Allier,1.86,1.925,1.869,,1.812,0.959,46.338,2.567,1
03410 Saint-Victor,Auvergne-Rhône-Alpes,Allier,1.873,1.997,1.9060000000000001,1.015,1.795,,46.3831688855525,2.5992004427535003,2
03430 Cosne-d'Allier,Auvergne-Rhône-Alpes,Allier,1.887,1.92,1.872,,,,46.474,2.827,1
03450 Ébreuil,Auvergne-Rhône-Alpes,Allier,1.969,1.985,,,1.928,,46.119,3.094,1
03500 Saint-Pourçain-sur-Sioule,Auvergne-Rhône-Alpes,Allier,1.865,1.936,1.865,0.989,1.8536666666666666,0.986,46.301516404999994,3.2909058150000003,4
03500 Saulcet,Auvergne-Rhône-Alpes,Allier,2.045,2.199,2.156,,,,46.338,3.285,1
03600 Commentry,Auvergne-Rhône-Alpes,Allier,1.885,1.9293333333333333,1.869,0.996,1.874,,46.29150333333333,2.7416400000000003,3
03630 Désertines,Auvergne-Rhône-Alpes,Allier,1.8545,1.899,1.879,,1.813,,46.349999999999994,2.62,2
03700 Bellerive-sur-Allier,Auvergne-Rhône-Alpes,Allier,1.8565,1.9155,,0.975,1.8359999999999999,,46.1158159412,3.4149123843550004,2
03800 Gannat,Auvergne-Rhône-Alpes,Allier,1.9060000000000001,1.9335,1.86,0.996,1.87675,1.056,46.0943619509316,3.20289229684908,5
04000 Digne-les-Bains,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.8686666666666667,1.9,1.887,0.965,1.8393333333333333,0.997,44.08453333333333,6.2158266666666675,3
04100 Manosque,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.8408333333333333,1.877,1.839,1.03525,1.809,0.8816666666666667,43.83087247983643,5.7957954339753,7
04120 Castellane,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.979,1.956,,,1.892,,43.84903,6.5100999999999996,2
04120 La Palud-sur-Verdon,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.913,,1.989,,,,43.78,6.342,1
04130 La Brillanne,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.99,,,,1.99,,43.94225,5.89247,1
04130 Volx,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.99,,,1.249,1.99,,43.842885752117,5.851421022464799,1
04140 Seyne,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.849,1.879,,,1.448,,44.34,6.379,1
04160 Château-Arnoux-Saint-Auban,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.936,1.957,1.889,1.0114999999999998,1.8986666666666665,0.999,44.086,6.00375,4
04170 Saint-André-les-Alpes,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.9675,1.99,1.99,,1.899,,43.965885,6.5067699999999995,2
04190 Les Mées,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.899,1.919,,0.999,1.839,,44.032,5.972,1
04200 Aubignosc,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,2.024,2.114,,,2.014,1.083,44.133508652902,5.9775342421699005,1
04200 Peipin,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.829,1.869,,0.998,1.799,,44.14295,5.95926,1
04200 Sisteron,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.8725,1.9235,,0.994,1.8399999999999999,,44.192499999999995,5.945,2
04204 Sisteron,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.818,1.869,1.849,0.999,1.778,0.999,44.21258330405,5.93039879889,2
04210 Valensole,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.904,1.92,2.019,,1.82,,43.83578690666667,5.9800358266666676,3
04240 Annot,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.89,,1.799,,,,43.969,6.668,1
04260 Allos,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,2.02,2.13,2.03,,,,44.26338,6.64132,1
04280 Céreste,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.793,1.901,,,1.814,,43.858,5.597,1
04300 Forcalquier,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.899,1.929,,0.998,1.859,,43.954585,5.781645,2
04320 Entrevaux,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.879,1.912,,0.998,1.834,,43.957,6.798,2
04330 Barrême,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.929,1.939,,1.199,1.885,,43.952,6.366,1
04360 Moustiers-Sainte-Marie,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.97,1.99,1.97,,,,43.844,6.215,1
04370 Villars-Colmars,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.98,,1.99,,,,44.1629,6.60861,1
04400 Barcelonnette,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.9396666666666667,1.9896666666666667,1.946,,1.9045,,44.387233873033345,6.655075539676666,3
04400 Saint-Pons,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.949,1.989,1.937,1.169,1.897,1.069,44.387,6.629,1
04500 Riez,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.9355,1.886,2.09,1.25,1.819,,43.81754304903333,6.089455649523333,3
04510 Mallemoisson,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.948,1.998,1.958,,,,44.044,6.13,1
04700 La Brillanne,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.889,1.899,1.859,1.099,2.039,,43.92768,5.89091,1
04700 Oraison,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.881,1.9110000000000003,,1.059,1.8310000000000002,,43.92005180207775,5.913068117520949,4
04800 Gréoux-les-Bains,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,1.973,1.99,,,1.92,,43.756,5.887,1
05000 Gap,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.8537142857142856,1.8964285714285716,,1.014,1.8092857142857142,1.034,44.55486285714286,6.076935714285715,7
05100 Briançon,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.868,1.911,1.915,1.059,,1.004,44.901359164297,6.631542928904301,2
05100 Montgenèvre,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.86,1.91,,1.058,1.82,,44.934,6.733,1
05120 L'Argentière-la-Bessée,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.899,,1.879,,1.839,,44.7929320359,6.55974685925,1
05120 Saint-Martin-de-Queyrières,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.86,,1.915,,1.82,,44.853,6.582,1
05130 Tallard,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.874,1.8785,,0.999,1.8135,,44.458626545342334,6.045046402119933,3
05160 Savines-le-Lac,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.832,1.879,,,1.801,,44.525,6.408,1
05190 Remollon,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.859,1.879,,0.999,1.799,0.999,44.4675,6.179,2
05200 Baratier,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.8675,1.9295,,0.998,1.8485,1.19,44.5407879,6.490012,3
05200 Embrun,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.8845,1.9165,1.8940000000000001,0.998,1.801,,44.5555,6.4879999999999995,2
05220 Le Monêtier-les-Bains,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.86,,1.915,,1.82,,44.972,6.519,1
05230 Chorges,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.8243333333333334,1.87,,0.9964999999999999,1.8063333333333331,,44.550406459702664,6.260216945301,3
05230 La Bâtie-Neuve,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.81,,1.99,,,,44.567,6.195,1
